user_id,user_total_cost_usd,user_total_requests,user_total_failures
u00002,0.024004,12,1
u00003,0.019212,9,0
u00005,0.015656,7,0
u00006,0.032736,17,1
u00007,0.032248,20,2
u00008,0.0028980000000000004,3,0
u00010,0.011126,9,0
u00011,0.010068,6,0
u00012,0.013468,11,0
u00013,0.009664,6,1
u00014,0.021168,8,0
u00018,0.011138,9,1
u00020,0.025206,15,1
u00021,0.020994,10,1
u00023,0.016218,6,1
u00024,0.015124,8,0
u00025,0.025142,10,1
u00026,0.030364,17,1
u00027,0.020814,11,1
u00028,0.042144,21,0
u00029,0.02635,15,1
u00030,0.01748,7,1
u00032,0.034692,20,0
u00033,0.032068,17,1
u00035,0.02139,10,1
u00036,0.035344,13,1
u00037,0.018922,8,1
u00038,0.008612,4,0
u00039,0.03694,20,0
u00040,0.02882,16,0
u00042,0.024678,11,0
u00043,0.052932,29,4
u00044,0.01922,12,2
u00045,0.017814,9,0
u00046,0.023168,12,1
u00047,0.00592,4,1
u00049,0.029486000000000002,15,1
u00050,0.040484,20,0
u00051,0.005068,3,1
u00052,0.012296,7,0
u00053,0.02287,13,0
u00054,0.023772,13,0
u00055,0.02456,15,0
u00057,0.028734,16,1
u00059,0.010494,6,0
u00060,0.022818,10,1
u00061,0.034708,19,0
u00065,0.01394,5,0
u00068,0.007436,2,1
u00069,0.030733999999999997,16,1
u00070,0.018414,8,0
u00071,0.016642,10,0
u00072,0.021728,14,1
u00073,0.007324,3,0
u00074,0.010556,4,1
u00076,0.01115,6,0
u00077,0.012074,7,1
u00079,0.030278,15,0
u00080,0.018638,8,0
u00081,0.004468,3,0
u00082,0.0071719999999999996,3,0
u00083,0.017646000000000002,11,1
u00084,0.021476000000000002,13,0
u00085,0.033284,14,0
u00086,0.015084,8,0
u00087,0.016947999999999998,8,0
u00088,0.006016,4,0
u00089,0.025056,17,0
u00090,0.027178,13,1
u00091,0.029588,17,1
u00092,0.031906000000000004,13,0
u00093,0.016422,8,0
u00094,0.030284,15,1
u00095,0.023178,14,0
u00096,0.01142,5,0
u00097,0.021036,13,1
u00098,0.00346,3,0
u00099,0.008566,7,1
u00100,0.02,8,0
u00101,0.021734,11,0
u00102,0.00877,5,0
u00103,0.010916,7,0
u00105,0.02175,8,0
u00107,0.013728,7,0
u00109,0.004258,3,0
u00110,0.027686000000000002,17,1
u00111,0.005514,3,1
u00112,0.017032,7,1
u00113,0.018506,8,0
u00114,0.003136,2,0
u00115,0.010974,5,1
u00117,0.013856,8,0
u00120,0.006006,5,0
u00121,0.00286,1,0
u00122,0.005104,3,0
u00123,0.015087999999999999,9,2
u00124,0.061372,24,2
u00125,0.00886,4,2
u00126,0.057592,24,2
u00128,0.012424,4,0
u00130,0.033374,15,1
u00131,0.042422,29,1
u00132,0.045264,25,1
u00133,0.005146,4,0
u00134,0.031992,14,1
u00135,0.024451999999999998,15,1
u00136,0.01489,11,0
u00137,0.00744,2,1
u00138,0.011902,7,0
u00139,0.043608,22,0
u00141,0.035668,20,1
u00142,0.02375,12,0
u00143,0.01764,10,2
u00145,0.00771,2,0
u00146,0.017204,11,2
u00147,0.011144,6,1
u00148,0.02037,14,1
u00149,0.03277,12,0
u00150,0.04002,18,4
u00151,0.01421,5,0
u00152,0.023758,13,0
u00153,0.009248,4,1
u00154,0.019198,9,1
u00155,0.000516,1,0
u00156,0.005176,4,0
u00157,0.011174,4,0
u00158,0.013954,7,0
u00160,0.013266,7,1
u00163,0.018948,8,1
u00164,0.039978,21,0
u00165,0.010144,5,0
u00167,0.061504,36,2
u00168,0.016226,10,2
u00170,0.0152,8,0
u00171,0.027142,12,0
u00172,0.011836,5,0
u00173,0.017496,7,1
u00174,0.00241,2,0
u00175,0.00979,5,0
u00176,0.014537999999999999,8,0
u00177,0.010264,5,0
u00178,0.019046,9,2
u00179,0.008612,5,0
u00180,0.019094,9,1
u00181,0.02621,14,1
u00182,0.008168,4,1
u00183,0.004843999999999999,2,0
u00184,0.011954,6,0
u00185,0.006978,3,0
u00187,0.003286,3,0
u00189,0.020021999999999998,10,1
u00190,0.015824,7,1
u00191,0.034646,17,0
u00192,0.003538,5,0
u00194,0.008392,4,0
u00195,0.00519,3,0
u00197,0.036542,20,3
u00198,0.0017079999999999999,2,0
u00199,0.050676,25,3
u00200,0.038326,17,3
u00201,0.024752,11,0
u00202,0.024586,11,0
u00204,0.018090000000000002,8,1
u00205,0.02143,12,1
u00206,0.02717,11,0
u00209,0.012684,6,0
u00210,0.017666,9,1
u00211,0.012292,7,0
u00212,0.023458,12,0
u00215,0.00907,4,0
u00216,0.04395,25,2
u00217,0.014332000000000001,7,0
u00219,0.00367,3,2
u00220,0.002056,1,0
u00221,0.020622,11,0
u00222,0.01784,12,1
u00224,0.011899999999999999,6,1
u00225,0.029704,16,2
u00227,0.0092,4,0
u00228,0.032690000000000004,17,2
u00229,0.019654,7,0
u00230,0.031942,18,0
u00231,0.02324,9,1
u00232,0.024366,10,1
u00233,0.013486,6,0
u00234,0.023282,14,0
u00235,0.028428000000000002,15,1
u00236,0.041374,15,1
u00237,0.0276,16,0
u00239,0.021194,13,1
u00240,0.018706,9,1
u00242,0.051106,23,3
u00243,0.02364,8,1
u00245,0.024792,12,0
u00247,0.019604,11,1
u00248,0.017582,9,1
u00249,0.029377999999999998,14,0
u00250,0.02684,13,0
u00252,0.017654,6,1
u00253,0.015628,8,0
u00254,0.00251,2,0
u00255,0.017052,9,0
u00257,0.042692,27,3
u00258,0.01602,9,0
u00260,0.010096,3,0
u00261,0.000684,1,0
u00263,0.013428,7,0
u00266,0.0041600000000000005,3,0
u00267,0.003474,3,0
u00268,0.026816,15,0
u00269,0.022946,11,2
u00270,0.010984,4,1
u00271,0.019232,9,2
u00272,0.020798,12,1
u00273,0.008488,5,0
u00275,0.011268,5,0
u00276,0.0030239999999999998,2,0
u00277,0.007366,4,0
u00278,0.034874,21,0
u00279,0.036884,16,0
u00280,0.018636,11,0
u00281,0.013196,9,1
u00282,0.02505,16,0
u00283,0.016014,7,0
u00285,0.007412,4,0
u00286,0.023258,8,2
u00287,0.007882,5,0
u00288,0.032236,12,0
u00289,0.03788,19,1
u00290,0.019327999999999998,9,1
u00291,0.03173,15,0
u00292,0.026006,15,0
u00293,0.026332,11,1
u00295,0.01446,7,1
u00297,0.015946000000000002,6,0
u00298,0.03091,15,1
u00299,0.014312,7,0
u00300,0.01667,8,2
