interaction_id,session_id,user_id,timestamp_utc,split,use_case,model_provider,model_name,account_tier,channel,region,segment,latency_ms,prompt_tokens,completion_tokens,total_tokens,tokens_per_second,cost_usd,tool_calls_count,temperature,top_p,max_tokens,retry_index,response_quality_score,user_feedback_score,failure_type,is_failure,is_failure_was_missing,safety_block_flag,hallucination_flag,toxicity_flag,formatting_error_flag,tool_error_flag,latency_timeout_flag
i0000001,s000143,u00083,2025-02-02 07:39:59+00:00,train,summarization,local,llama,free,api,eu,consumer,1154.97,317,262,579,500.0,0.003474,2,1.16,0.8,1339,2,0.487,-0.238,none,False,False,False,False,False,False,False,False
i0000002,s000396,u00263,2025-01-13 03:00:28+00:00,test,analytics,local,llama,pro,web,eu,consumer,1941.13,121,435,556,286.43,0.001112,0,0.45,0.75,1613,0,0.948,0.435,none,False,False,False,False,False,False,False,False
i0000003,s000400,u00094,2025-02-15 20:43:15+00:00,train,coding,anthropic,claude,enterprise,mobile,apac,consumer,1677.71,134,475,609,363.0,0.002436,0,0.29,0.72,788,0,0.526,-0.367,none,False,False,False,False,False,False,False,False
i0000004,s000313,u00036,2025-01-20 02:04:54+00:00,val,support,local,llama,enterprise,api,apac,smb,1811.35,49,385,434,239.6,0.002604,0,0.48,0.6,672,0,0.781,-1.0,none,False,False,False,False,False,False,False,False
i0000005,s000474,u00141,2025-02-22 03:06:35+00:00,test,summarization,google,gemini,free,mobile,us,consumer,2030.57,171,435,606,298.44,0.001212,1,0.36,0.94,1635,2,0.356,0.318,none,False,False,False,False,False,False,False,False
i0000006,s000269,u00184,2025-01-05 22:47:23+00:00,train,coding,local,llama,free,api,mena,enterprise,1159.91,53,53,106,91.39,0.000424,0,0.81,0.79,157,2,0.625,0.737,none,False,False,False,False,False,False,False,False
i0000007,s000013,u00221,2025-01-31 12:28:10+00:00,train,summarization,google,gemini,enterprise,mobile,eu,consumer,2122.97,377,234,611,287.8,0.001222,0,0.76,0.89,1242,0,0.448,0.123,none,False,False,False,False,False,False,False,False
i0000008,s000304,u00269,2025-01-10 11:06:47+00:00,test,summarization,local,llama,pro,mobile,us,enterprise,1728.79,88,324,412,238.32,0.000824,1,0.03,0.98,1986,0,0.21,0.529,none,False,False,False,False,False,False,False,False
i0000009,s000389,u00268,2025-02-23 16:29:47+00:00,val,search,google,gemini,free,api,eu,consumer,1956.35,277,288,565,288.8,0.00113,0,0.61,0.6,2031,1,0.55,0.442,none,False,False,False,False,False,False,False,False
i0000010,s000051,u00228,2025-01-26 15:07:32+00:00,val,coding,anthropic,claude,free,web,us,enterprise,2472.71,245,637,882,356.69,0.001764,0,0.04,0.87,1502,2,0.338,0.206,none,False,False,False,False,False,False,False,False
